
Integration time [ms]:  10.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1911294U1
Wave   ;Sample   ;Dark     ;Reference;Absorbance
[nm]   ;[counts] ;[counts] ;[counts] ;[A.U]

 860.61; 1631.700; 1551.700; 1907.800; 0.64848
 864.82; 1583.300; 1505.600; 1955.500; 0.76269
 869.02; 1594.200; 1514.900; 2034.000; 0.81598
 873.23; 1619.600; 1530.300; 2122.800; 0.82184
 877.43; 1575.300; 1494.800; 2149.500; 0.91025
 881.63; 1617.700; 1530.800; 2256.000; 0.92144
 885.83; 1599.300; 1499.600; 2300.600; 0.90494
 890.03; 1597.500; 1501.000; 2363.200; 0.95108
 894.23; 1604.000; 1498.400; 2434.200; 0.94752
 898.42; 1591.200; 1490.200; 2489.500; 0.99537
 902.62; 1628.900; 1522.400; 2605.100; 1.00716
 906.81; 1594.600; 1488.700; 2644.500; 1.03799
 911.00; 1602.200; 1494.400; 2732.000; 1.05996
 915.19; 1615.200; 1503.000; 2840.700; 1.07637
 919.38; 1663.200; 1541.400; 2988.000; 1.07470
 923.57; 1599.000; 1477.600; 3060.100; 1.11513
 927.76; 1643.800; 1511.200; 3297.300; 1.12936
 931.94; 1633.900; 1493.300; 3511.600; 1.15700
 936.13; 1669.600; 1516.000; 3764.700; 1.16554
 940.31; 1639.400; 1484.900; 3931.100; 1.19956
 944.49; 1716.500; 1547.000; 4163.000; 1.18847
 948.67; 1698.000; 1518.900; 4297.000; 1.19065
 952.85; 1669.900; 1493.400; 4427.000; 1.22066
 957.03; 1685.100; 1501.100; 4604.000; 1.22695
 961.21; 1711.600; 1518.200; 4778.500; 1.22680
 965.38; 1702.100; 1507.600; 4921.400; 1.24432
 969.55; 1708.200; 1505.800; 5072.200; 1.24602
 973.73; 1729.100; 1520.500; 5253.800; 1.25278
 977.90; 1728.300; 1511.100; 5413.200; 1.25444
 982.06; 1736.600; 1518.800; 5592.700; 1.27195
 986.23; 1739.100; 1506.000; 5748.000; 1.26003
 990.40; 1757.700; 1519.400; 5941.100; 1.26847
 994.56; 1783.800; 1538.400; 6129.700; 1.27206
 998.72; 1792.400; 1541.900; 6290.500; 1.27776
1002.88; 1763.000; 1510.200; 6415.300; 1.28787
1007.04; 1791.300; 1529.400; 6579.000; 1.28512
1011.20; 1791.000; 1519.900; 6717.500; 1.28267
1015.36; 1820.400; 1543.200; 6867.300; 1.28345
1019.51; 1783.200; 1510.000; 6947.400; 1.29891
1023.67; 1810.100; 1530.900; 7080.200; 1.29832
1027.82; 1797.800; 1512.800; 7172.800; 1.29797
1031.97; 1816.600; 1525.500; 7291.600; 1.29684
1036.12; 1814.600; 1523.900; 7384.200; 1.30447
1040.27; 1816.200; 1520.100; 7490.500; 1.30457
1044.41; 1823.900; 1522.700; 7585.300; 1.30380
1048.56; 1840.600; 1534.900; 7704.000; 1.30493
1052.70; 1828.800; 1519.500; 7789.500; 1.30689
1056.84; 1841.200; 1529.400; 7905.400; 1.31067
1060.98; 1810.900; 1501.100; 7985.000; 1.32075
1065.11; 1832.900; 1513.900; 8119.500; 1.31612
1069.25; 1854.000; 1526.700; 8264.000; 1.31354
1073.38; 1862.600; 1527.800; 8408.100; 1.31282
1077.52; 1884.400; 1546.500; 8548.800; 1.31645
1081.65; 1873.400; 1532.900; 8683.900; 1.32225
1085.77; 1874.800; 1527.000; 8829.600; 1.32215
1089.90; 1890.700; 1533.700; 8986.900; 1.31967
1094.03; 1860.100; 1500.400; 9113.600; 1.32563
1098.15; 1913.500; 1546.400; 9322.700; 1.32599
1102.27; 1858.600; 1489.800; 9441.600; 1.33367
1106.39; 1906.400; 1527.600; 9661.400; 1.33188
1110.51; 1946.700; 1551.400; 9878.200; 1.32355
1114.63; 1897.500; 1500.800;10067.700; 1.33436
1118.74; 1964.000; 1553.000;10360.700; 1.33102
1122.85; 1945.000; 1530.700;10522.800; 1.33655
1126.96; 1922.700; 1503.600;10642.400; 1.33857
1131.07; 1983.000; 1554.700;10786.500; 1.33354
1135.18; 1930.300; 1504.600;10802.100; 1.33926
1139.29; 1948.200; 1516.000;10868.600; 1.33525
1143.39; 1970.800; 1538.200;10912.400; 1.33585
1147.49; 1949.500; 1518.500;10897.900; 1.33770
1151.59; 1944.100; 1515.000;10914.000; 1.34052
1155.69; 1977.900; 1541.600;10966.800; 1.33451
1159.78; 1936.600; 1502.700;10951.200; 1.33797
1163.88; 1974.900; 1536.300;11019.900; 1.33490
1167.97; 1975.300; 1537.000;11049.100; 1.33650
1172.06; 1953.000; 1514.600;11052.300; 1.33757
1176.15; 1952.400; 1511.400;11073.900; 1.33613
1180.23; 1996.900; 1549.600;11155.900; 1.33196
1184.32; 1939.500; 1494.700;11140.100; 1.33616
1188.40; 1955.300; 1514.000;11201.700; 1.34149
1192.48; 1965.500; 1515.300;11260.500; 1.33539
1196.56; 1973.500; 1521.200;11309.800; 1.33529
1200.64; 1991.600; 1534.600;11380.300; 1.33333
1204.71; 1968.900; 1514.200;11415.100; 1.33795
