
Integration time [ms]:  10.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1911294U1
Wave   ;Sample   ;Dark     ;Reference;Absorbance
[nm]   ;[counts] ;[counts] ;[counts] ;[A.U]

 860.61; 1626.600; 1551.700; 1907.800; 0.67709
 864.82; 1582.000; 1505.600; 1955.500; 0.77002
 869.02; 1591.800; 1514.900; 2034.000; 0.82932
 873.23; 1619.000; 1530.300; 2122.800; 0.82476
 877.43; 1571.800; 1494.800; 2149.500; 0.92955
 881.63; 1613.600; 1530.800; 2256.000; 0.94243
 885.83; 1590.900; 1499.600; 2300.600; 0.94316
 890.03; 1593.000; 1501.000; 2363.200; 0.97182
 894.23; 1594.000; 1498.400; 2434.200; 0.99073
 898.42; 1581.000; 1490.200; 2489.500; 1.04161
 902.62; 1624.400; 1522.400; 2605.100; 1.02591
 906.81; 1590.200; 1488.700; 2644.500; 1.05642
 911.00; 1602.000; 1494.400; 2732.000; 1.06077
 915.19; 1608.300; 1503.000; 2840.700; 1.10393
 919.38; 1659.300; 1541.400; 2988.000; 1.08883
 923.57; 1597.800; 1477.600; 3060.100; 1.11944
 927.76; 1643.300; 1511.200; 3297.300; 1.13100
 931.94; 1631.200; 1493.300; 3511.600; 1.16542
 936.13; 1667.200; 1516.000; 3764.700; 1.17238
 940.31; 1636.900; 1484.900; 3931.100; 1.20665
 944.49; 1710.800; 1547.000; 4163.000; 1.20332
 948.67; 1691.300; 1518.900; 4297.000; 1.20721
 952.85; 1665.800; 1493.400; 4427.000; 1.23086
 957.03; 1686.300; 1501.100; 4604.000; 1.22413
 961.21; 1705.700; 1518.200; 4778.500; 1.24026
 965.38; 1706.800; 1507.600; 4921.400; 1.23395
 969.55; 1702.600; 1505.800; 5072.200; 1.25820
 973.73; 1729.400; 1520.500; 5253.800; 1.25215
 977.90; 1723.900; 1511.100; 5413.200; 1.26333
 982.06; 1740.400; 1518.800; 5592.700; 1.26444
 986.23; 1735.200; 1506.000; 5748.000; 1.26736
 990.40; 1754.500; 1519.400; 5941.100; 1.27434
 994.56; 1783.600; 1538.400; 6129.700; 1.27242
 998.72; 1791.200; 1541.900; 6290.500; 1.27984
1002.88; 1761.800; 1510.200; 6415.300; 1.28994
1007.04; 1790.300; 1529.400; 6579.000; 1.28678
1011.20; 1784.300; 1519.900; 6717.500; 1.29354
1015.36; 1817.200; 1543.200; 6867.300; 1.28850
1019.51; 1781.800; 1510.000; 6947.400; 1.30114
1023.67; 1805.500; 1530.900; 7080.200; 1.30554
1027.82; 1796.600; 1512.800; 7172.800; 1.29980
1031.97; 1813.200; 1525.500; 7291.600; 1.30194
1036.12; 1811.800; 1523.900; 7384.200; 1.30868
1040.27; 1811.700; 1520.100; 7490.500; 1.31122
1044.41; 1820.700; 1522.700; 7585.300; 1.30844
1048.56; 1837.700; 1534.900; 7704.000; 1.30907
1052.70; 1826.200; 1519.500; 7789.500; 1.31055
1056.84; 1839.000; 1529.400; 7905.400; 1.31375
1060.98; 1810.700; 1501.100; 7985.000; 1.32104
1065.11; 1832.700; 1513.900; 8119.500; 1.31639
1069.25; 1852.500; 1526.700; 8264.000; 1.31553
1073.38; 1857.200; 1527.800; 8408.100; 1.31988
1077.52; 1878.800; 1546.500; 8548.800; 1.32371
1081.65; 1870.600; 1532.900; 8683.900; 1.32584
1085.77; 1874.400; 1527.000; 8829.600; 1.32265
1089.90; 1884.200; 1533.700; 8986.900; 1.32765
1094.03; 1858.100; 1500.400; 9113.600; 1.32805
1098.15; 1907.100; 1546.400; 9322.700; 1.33363
1102.27; 1856.100; 1489.800; 9441.600; 1.33663
1106.39; 1906.800; 1527.600; 9661.400; 1.33143
1110.51; 1938.300; 1551.400; 9878.200; 1.33288
1114.63; 1895.600; 1500.800;10067.700; 1.33645
1118.74; 1964.000; 1553.000;10360.700; 1.33102
1122.85; 1940.600; 1530.700;10522.800; 1.34118
1126.96; 1916.700; 1503.600;10642.400; 1.34483
1131.07; 1980.300; 1554.700;10786.500; 1.33628
1135.18; 1924.100; 1504.600;10802.100; 1.34563
1139.29; 1944.500; 1516.000;10868.600; 1.33898
1143.39; 1968.300; 1538.200;10912.400; 1.33836
1147.49; 1941.300; 1518.500;10897.900; 1.34604
1151.59; 1940.200; 1515.000;10914.000; 1.34449
1155.69; 1972.300; 1541.600;10966.800; 1.34012
1159.78; 1931.100; 1502.700;10951.200; 1.34351
1163.88; 1970.100; 1536.300;11019.900; 1.33968
1167.97; 1967.100; 1537.000;11049.100; 1.34471
1172.06; 1949.300; 1514.600;11052.300; 1.34125
1176.15; 1951.200; 1511.400;11073.900; 1.33732
1180.23; 1987.600; 1549.600;11155.900; 1.34108
1184.32; 1932.700; 1494.700;11140.100; 1.34285
1188.40; 1957.900; 1514.000;11201.700; 1.33894
1192.48; 1961.500; 1515.300;11260.500; 1.33926
1196.56; 1964.100; 1521.200;11309.800; 1.34441
1200.64; 1984.800; 1534.600;11380.300; 1.33984
1204.71; 1962.700; 1514.200;11415.100; 1.34391
