
Integration time [ms]:   3.780
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1911294U1
Wave   ;Sample   ;Dark     ;Reference;Absorbance
[nm]   ;[counts] ;[counts] ;[counts] ;[A.U]

 860.61;  121.000;   67.750;  833.250; 1.15763
 864.82;  136.000;   49.750;  998.250; 1.04128
 869.02;  152.000;   59.750; 1169.250; 1.08016
 873.23;  179.000;   54.750; 1288.250; 0.99684
 877.43;  170.000;   53.750; 1415.250; 1.06862
 881.63;  186.000;   54.750; 1540.250; 1.05377
 885.83;  187.000;   49.750; 1684.250; 1.07587
 890.03;  195.000;   28.750; 1796.250; 1.02660
 894.23;  205.000;   40.750; 1929.250; 1.06061
 898.42;  218.000;   37.750; 2071.250; 1.05237
 902.62;  222.000;   56.750; 2213.250; 1.11561
 906.81;  251.000;   35.750; 2337.250; 1.02907
 911.00;  253.000;   53.750; 2523.250; 1.09321
 915.19;  268.000;   45.750; 2712.250; 1.07910
 919.38;  314.000;   47.750; 2963.250; 1.03942
 923.57;  336.000;   53.750; 3292.250; 1.05971
 927.76;  359.000;   40.750; 3728.250; 1.06396
 931.94;  390.000;   39.750; 4163.250; 1.07089
 936.13;  419.000;   53.750; 4579.250; 1.09308
 940.31;  450.000;   50.750; 4873.250; 1.08203
 944.49;  501.000;   63.750; 5167.250; 1.06714
 948.67;  485.000;   49.750; 5411.250; 1.09055
 952.85;  498.000;   50.750; 5679.250; 1.09984
 957.03;  541.000;   47.750; 5965.250; 1.07907
 961.21;  544.000;   58.750; 6236.250; 1.10485
 965.38;  556.000;   44.750; 6471.250; 1.09934
 969.55;  564.000;   37.750; 6719.250; 1.10368
 973.73;  596.000;   56.750; 6971.250; 1.10797
 977.90;  626.000;   42.750; 7222.250; 1.09024
 982.06;  631.000;   44.750; 7469.250; 1.10258
 986.23;  649.000;   51.750; 7739.250; 1.10963
 990.40;  679.000;   61.750; 7985.250; 1.10846
 994.56;  695.000;   65.750; 8243.250; 1.11380
 998.72;  720.000;   58.750; 8450.250; 1.10347
1002.88;  713.000;   57.750; 8670.250; 1.11872
1007.04;  744.000;   52.750; 8879.250; 1.10615
1011.20;  743.000;   49.750; 9068.250; 1.11424
1015.36;  771.000;   45.750; 9257.250; 1.10384
1019.51;  785.000;   60.750; 9402.250; 1.11053
1023.67;  810.000;   69.750; 9574.250; 1.10855
1027.82;  813.000;   61.750; 9729.250; 1.10953
1031.97;  827.000;   55.750; 9851.250; 1.10383
1036.12;  833.000;   49.750;10022.250; 1.10490
1040.27;  832.000;   61.750;10174.250; 1.11823
1044.41;  858.000;   73.750;10320.250; 1.11612
1048.56;  882.000;   53.750;10468.250; 1.09948
1052.70;  891.000;   58.750;10629.250; 1.10384
1056.84;  904.000;   47.750;10798.250; 1.09883
1060.98;  903.000;   67.750;10996.250; 1.11674
1065.11;  926.000;   63.750;11181.250; 1.11037
1069.25;  944.000;   63.750;11391.250; 1.10953
1073.38;  969.000;   56.750;11632.250; 1.10343
1077.52;  979.000;   70.750;11862.250; 1.11336
1081.65;  999.000;   62.750;12105.250; 1.10932
1085.77; 1014.000;   60.750;12352.250; 1.11040
1089.90; 1043.000;   56.750;12603.250; 1.10454
1094.03; 1048.000;   65.750;12857.250; 1.11470
1098.15; 1073.000;   68.750;13146.250; 1.11468
1102.27; 1089.000;   66.750;13436.250; 1.11656
1106.39; 1116.000;   69.750;13733.250; 1.11593
1110.51; 1131.000;   69.750;14055.250; 1.11986
1114.63; 1139.000;   49.750;14464.250; 1.12167
1118.74; 1196.000;   73.750;14874.250; 1.12019
1122.85; 1212.000;   70.750;15167.250; 1.12150
1126.96; 1193.000;   61.750;15350.250; 1.13081
1131.07; 1211.000;   57.750;15457.250; 1.12558
1135.18; 1199.000;   63.750;15545.250; 1.13472
1139.29; 1157.000;   45.750;15604.250; 1.14616
1143.39; 1145.000;   62.750;15613.250; 1.15742
1147.49; 1116.000;   71.750;15592.250; 1.17210
1151.59; 1103.000;   71.750;15618.250; 1.17827
1155.69; 1087.000;   64.750;15618.250; 1.18227
1159.78; 1062.000;   61.750;15619.250; 1.19183
1163.88; 1080.000;   66.750;15654.250; 1.18706
1167.97; 1047.000;   60.750;15657.250; 1.19904
1172.06; 1045.000;   60.750;15668.250; 1.20023
1176.15; 1037.000;   53.750;15670.250; 1.20092
1180.23; 1030.000;   59.750;15679.250; 1.20678
1184.32; 1021.000;   50.750;15690.250; 1.20734
1188.40; 1025.000;   57.750;15712.250; 1.20910
1192.48; 1020.000;   55.750;15725.250; 1.21087
1196.56; 1030.000;   53.750;15754.250; 1.20635
1200.64; 1040.000;   72.750;15783.250; 1.21065
1204.71; 1044.000;   50.750;15806.250; 1.20037
1208.78; 1042.000;   69.750;15849.250; 1.21032
1212.85; 1053.000;   54.750;15854.250; 1.19940
1216.92; 1036.000;   37.750;15840.250; 1.19949
1220.99; 1053.000;   49.750;15897.250; 1.19855
1225.05; 1057.000;   60.750;15920.250; 1.20192
1229.11; 1066.000;   53.750;15924.250; 1.19530
