
Integration time [ms]:   3.780
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1911294U1
Wave   ;Sample   ;Dark     ;Reference;Absorbance
[nm]   ;[counts] ;[counts] ;[counts] ;[A.U]

 860.61;   52.250;   67.750;  833.250; 5.00000
 864.82;   59.250;   49.750;  998.250; 1.99931
 869.02;   58.250;   59.750; 1169.250; 5.00000
 873.23;   63.250;   54.750; 1288.250; 2.16172
 877.43;   59.250;   53.750; 1415.250; 2.39365
 881.63;   78.250;   54.750; 1540.250; 1.80080
 885.83;   61.250;   49.750; 1684.250; 2.15269
 890.03;   69.250;   28.750; 1796.250; 1.63990
 894.23;   63.250;   40.750; 1929.250; 1.92393
 898.42;   51.250;   37.750; 2071.250; 2.17791
 902.62;   69.250;   56.750; 2213.250; 2.23684
 906.81;   72.250;   35.750; 2337.250; 1.79972
 911.00;   74.250;   53.750; 2523.250; 2.08086
 915.19;   85.250;   45.750; 2712.250; 1.82934
 919.38;   99.250;   47.750; 2963.250; 1.75291
 923.57;  106.250;   53.750; 3292.250; 1.79018
 927.76;  100.250;   40.750; 3728.250; 1.79222
 931.94;  113.250;   39.750; 4163.250; 1.74898
 936.13;  112.250;   53.750; 4579.250; 1.88851
 940.31;  117.250;   50.750; 4873.250; 1.86045
 944.49;  137.250;   63.750; 5167.250; 1.84158
 948.67;  126.250;   49.750; 5411.250; 1.84562
 952.85;  130.250;   50.750; 5679.250; 1.85003
 957.03;  134.250;   47.750; 5965.250; 1.83512
 961.21;  138.250;   58.750; 6236.250; 1.89045
 965.38;  128.250;   44.750; 6471.250; 1.88629
 969.55;  127.250;   37.750; 6719.250; 1.87305
 973.73;  155.250;   56.750; 6971.250; 1.84632
 977.90;  149.250;   42.750; 7222.250; 1.82874
 982.06;  157.250;   44.750; 7469.250; 1.81951
 986.23;  150.250;   51.750; 7739.250; 1.89235
 990.40;  169.250;   61.750; 7985.250; 1.86751
 994.56;  171.250;   65.750; 8243.250; 1.88937
 998.72;  160.250;   58.750; 8450.250; 1.91737
1002.88;  166.250;   57.750; 8670.250; 1.89970
1007.04;  179.250;   52.750; 8879.250; 1.84370
1011.20;  184.250;   49.750; 9068.250; 1.82641
1015.36;  183.250;   45.750; 9257.250; 1.82603
1019.51;  194.250;   60.750; 9402.250; 1.84494
1023.67;  197.250;   69.750; 9574.250; 1.87242
1027.82;  189.250;   61.750; 9729.250; 1.87980
1031.97;  178.250;   55.750; 9851.250; 1.90289
1036.12;  203.250;   49.750;10022.250; 1.81270
1040.27;  185.250;   61.750;10174.250; 1.91319
1044.41;  196.250;   73.750;10320.250; 1.92244
1048.56;  200.250;   53.750;10468.250; 1.85180
1052.70;  203.250;   58.750;10629.250; 1.86423
1056.84;  193.250;   47.750;10798.250; 1.86857
1060.98;  194.250;   67.750;10996.250; 1.93647
1065.11;  214.250;   63.750;11181.250; 1.86847
1069.25;  206.250;   63.750;11391.250; 1.90032
1073.38;  209.250;   56.750;11632.250; 1.88027
1077.52;  230.250;   70.750;11862.250; 1.86881
1081.65;  215.250;   62.750;12105.250; 1.89745
1085.77;  229.250;   60.750;12352.250; 1.86300
1089.90;  225.250;   56.750;12603.250; 1.87192
1094.03;  228.250;   65.750;12857.250; 1.89607
1098.15;  223.250;   68.750;13146.250; 1.92760
1102.27;  235.250;   66.750;13436.250; 1.89952
1106.39;  234.250;   69.750;13733.250; 1.91940
1110.51;  238.250;   69.750;14055.250; 1.91908
1114.63;  238.250;   49.750;14464.250; 1.88349
1118.74;  257.250;   73.750;14874.250; 1.90664
1122.85;  247.250;   70.750;15167.250; 1.93213
1126.96;  245.250;   61.750;15350.250; 1.92073
1131.07;  251.250;   57.750;15457.250; 1.90083
1135.18;  241.250;   63.750;15545.250; 1.94061
1139.29;  228.250;   45.750;15604.250; 1.93070
1143.39;  241.250;   62.750;15613.250; 1.94011
1147.49;  222.250;   71.750;15592.250; 2.01337
1151.59;  217.250;   71.750;15618.250; 2.02877
1155.69;  226.250;   64.750;15618.250; 1.98366
1159.78;  212.250;   61.750;15619.250; 2.01440
1163.88;  224.250;   66.750;15654.250; 1.99550
1167.97;  215.250;   60.750;15657.250; 2.00410
1172.06;  206.250;   60.750;15668.250; 2.03047
1176.15;  211.250;   53.750;15670.250; 1.99630
1180.23;  200.250;   59.750;15679.250; 2.04599
1184.32;  180.250;   50.750;15690.250; 2.08195
1188.40;  209.250;   57.750;15712.250; 2.01423
1192.48;  205.250;   55.750;15725.250; 2.02041
1196.56;  197.250;   53.750;15754.250; 2.03906
1200.64;  214.250;   72.750;15783.250; 2.04543
1204.71;  194.250;   50.750;15806.250; 2.04058
1208.78;  212.250;   69.750;15849.250; 2.04428
1212.85;  210.250;   54.750;15854.250; 2.00691
1216.92;  208.250;   37.750;15840.250; 1.96700
1220.99;  205.250;   49.750;15897.250; 2.00823
1225.05;  213.250;   60.750;15920.250; 2.01702
1229.11;  206.250;   53.750;15924.250; 2.01732
1233.17;  229.250;   58.750;15926.250; 1.96878
